1;Адыгейск;Адыгея
2;Майкоп;Адыгея
3;Горно-Алтайск;Алтай
4;Алейск;Алтайский край
5;Барнаул;Алтайский край
6;Белокуриха;Алтайский край
7;Бийск;Алтайский край
8;Горняк;Алтайский край
9;Заринск;Алтайский край
10;Змеиногорск;Алтайский край
11;Камень-на-Оби;Алтайский край
12;Новоалтайск;Алтайский край
13;Рубцовск;Алтайский край
14;Славгород;Алтайский край
15;Яровое;Алтайский край
16;Белогорск;Амурская область
17;Благовещенск;Амурская область
18;Завитинск;Амурская область
19;Зея;Амурская область
20;Райчихинск;Амурская область
21;Свободный;Амурская область
22;Сковородино;Амурская область
23;Тында;Амурская область
24;Шимановск;Амурская область
25;Архангельск;Архангельская область
26;Вельск;Архангельская область
27;Каргополь;Архангельская область
28;Коряжма;Архангельская область
29;Котлас;Архангельская область
30;Мезень;Архангельская область
31;Мирный;Архангельская область
32;Новодвинск;Архангельская область
33;Няндома;Архангельская область
34;Онега;Архангельская область
35;Северодвинск;Архангельская область
36;Сольвычегодск;Архангельская область
37;Шенкурск;Архангельская область
38;Астрахань;Астраханская область
39;Ахтубинск;Астраханская область
40;Знаменск;Астраханская область
41;Камызяк;Астраханская область
42;Нариманов;Астраханская область
43;Харабали;Астраханская область
44;Агидель;Башкортостан
45;Баймак;Башкортостан
46;Белебей;Башкортостан
47;Белорецк;Башкортостан
48;Бирск;Башкортостан
49;Благовещенск;Башкортостан
50;Давлеканово;Башкортостан
51;Дюртюли;Башкортостан
52;Ишимбай;Башкортостан
53;Кумертау;Башкортостан
54;Межгорье;Башкортостан
55;Мелеуз;Башкортостан
56;Нефтекамск;Башкортостан
57;Октябрьский;Башкортостан
58;Салават;Башкортостан
59;Сибай;Башкортостан
60;Стерлитамак;Башкортостан
61;Туймазы;Башкортостан
62;Уфа;Башкортостан
63;Учалы;Башкортостан
64;Янаул;Башкортостан
65;Алексеевка;Белгородская область
66;Белгород;Белгородская область
67;Бирюч;Белгородская область
68;Валуйки;Белгородская область
69;Грайворон;Белгородская область
70;Губкин;Белгородская область
71;Короча;Белгородская область
72;Новый Оскол;Белгородская область
73;Старый Оскол;Белгородская область
74;Строитель;Белгородская область
75;Шебекино;Белгородская область
76;Брянск;Брянская область
77;Дятьково;Брянская область
78;Жуковка;Брянская область
79;Злынка;Брянская область
80;Карачев;Брянская область
81;Клинцы;Брянская область
82;Мглин;Брянская область
83;Новозыбков;Брянская область
84;Почеп;Брянская область
85;Севск;Брянская область
86;Сельцо;Брянская область
87;Стародуб;Брянская область
88;Сураж;Брянская область
89;Трубчевск;Брянская область
90;Унеча;Брянская область
91;Фокино;Брянская область
92;Бабушкин;Бурятия
93;Гусиноозёрск;Бурятия
94;Закаменск;Бурятия
95;Кяхта;Бурятия
96;Северобайкальск;Бурятия
97;Улан-Удэ;Бурятия
98;Александров;Владимирская область
99;Владимир;Владимирская область
100;Вязники;Владимирская область
101;Гороховец;Владимирская область
102;Гусь-Хрустальный;Владимирская область
103;Камешково;Владимирская область
104;Карабаново;Владимирская область
105;Киржач;Владимирская область
106;Ковров;Владимирская область
107;Кольчугино;Владимирская область
108;Костерёво;Владимирская область
109;Курлово;Владимирская область
110;Лакинск;Владимирская область
111;Меленки;Владимирская область
112;Муром;Владимирская область
113;Петушки;Владимирская область
114;Покров;Владимирская область
115;Радужный;Владимирская область
116;Собинка;Владимирская область
117;Струнино;Владимирская область
118;Судогда;Владимирская область
119;Суздаль;Владимирская область
120;Юрьев-Польский;Владимирская область
121;Волгоград;Волгоградская область
122;Волжский;Волгоградская область
123;Дубовка;Волгоградская область
124;Жирновск;Волгоградская область
125;Калач-на-Дону;Волгоградская область
126;Камышин;Волгоградская область
127;Котельниково;Волгоградская область
128;Котово;Волгоградская область
129;Краснослободск;Волгоградская область
130;Ленинск;Волгоградская область
131;Михайловка;Волгоградская область
132;Николаевск;Волгоградская область
133;Новоаннинский;Волгоградская область
134;Палласовка;Волгоградская область
135;Петров Вал;Волгоградская область
136;Серафимович;Волгоградская область
137;Суровикино;Волгоградская область
138;Урюпинск;Волгоградская область
139;Фролово;Волгоградская область
140;Бабаево;Вологодская область
141;Белозерск;Вологодская область
142;Великий Устюг;Вологодская область
143;Вологда;Вологодская область
144;Вытегра;Вологодская область
145;Грязовец;Вологодская область
146;Кадников;Вологодская область
147;Кириллов;Вологодская область
148;Красавино;Вологодская область
149;Никольск;Вологодская область
150;Сокол;Вологодская область
151;Тотьма;Вологодская область
152;Устюжна;Вологодская область
153;Харовск;Вологодская область
154;Череповец;Вологодская область
155;Бобров;Воронежская область
156;Богучар;Воронежская область
157;Борисоглебск;Воронежская область
158;Бутурлиновка;Воронежская область
159;Воронеж;Воронежская область
160;Калач;Воронежская область
161;Лиски;Воронежская область
162;Нововоронеж;Воронежская область
163;Новохопёрск;Воронежская область
164;Острогожск;Воронежская область
165;Павловск;Воронежская область
166;Поворино;Воронежская область
167;Россошь;Воронежская область
168;Семилуки;Воронежская область
169;Эртиль;Воронежская область
170;Буйнакск;Дагестан
171;Дагестанские Огни;Дагестан
172;Дербент;Дагестан
173;Избербаш;Дагестан
174;Каспийск;Дагестан
175;Кизилюрт;Дагестан
176;Кизляр;Дагестан
177;Махачкала;Дагестан
178;Хасавюрт;Дагестан
179;Южно-Сухокумск;Дагестан
180;Биробиджан;Еврейская АО
181;Облучье;Еврейская АО
182;Балей;Забайкальский край
183;Борзя;Забайкальский край
184;Краснокаменск;Забайкальский край
185;Могоча;Забайкальский край
186;Нерчинск;Забайкальский край
187;Петровск-Забайкальский;Забайкальский край
188;Сретенск;Забайкальский край
189;Хилок;Забайкальский край
190;Чита;Забайкальский край
191;Шилка;Забайкальский край
192;Вичуга;Ивановская область
193;Гаврилов Посад;Ивановская область
194;Заволжск;Ивановская область
195;Иваново;Ивановская область
196;Кинешма;Ивановская область
197;Комсомольск;Ивановская область
198;Кохма;Ивановская область
199;Наволоки;Ивановская область
200;Плёс;Ивановская область
201;Приволжск;Ивановская область
202;Пучеж;Ивановская область
203;Родники;Ивановская область
204;Тейково;Ивановская область
205;Фурманов;Ивановская область
206;Шуя;Ивановская область
207;Южа;Ивановская область
208;Юрьевец;Ивановская область
209;Карабулак;Ингушетия
210;Магас;Ингушетия
211;Малгобек;Ингушетия
212;Назрань;Ингушетия
213;Алзамай;Иркутская область
214;Ангарск;Иркутская область
215;Байкальск;Иркутская область
216;Бирюсинск;Иркутская область
217;Бодайбо;Иркутская область
218;Братск;Иркутская область
219;Вихоревка;Иркутская область
220;Железногорск-Илимский;Иркутская область
221;Зима;Иркутская область
222;Иркутск;Иркутская область
223;Киренск;Иркутская область
224;Нижнеудинск;Иркутская область
225;Саянск;Иркутская область
226;Свирск;Иркутская область
227;Слюдянка;Иркутская область
228;Тайшет;Иркутская область
229;Тулун;Иркутская область
230;Усолье-Сибирское;Иркутская область
231;Усть-Илимск;Иркутская область
232;Усть-Кут;Иркутская область
233;Черемхово;Иркутская область
234;Шелехов;Иркутская область
235;Баксан;Кабардино-Балкария
236;Майский;Кабардино-Балкария
237;Нальчик;Кабардино-Балкария
238;Нарткала;Кабардино-Балкария
239;Прохладный;Кабардино-Балкария
240;Терек;Кабардино-Балкария
241;Тырныауз;Кабардино-Балкария
242;Чегем;Кабардино-Балкария
243;Багратионовск;Калининградская область
244;Балтийск;Калининградская область
245;Гвардейск;Калининградская область
246;Гурьевск;Калининградская область
247;Гусев;Калининградская область
248;Зеленоградск;Калининградская область
249;Калининград;Калининградская область
250;Краснознаменск;Калининградская область
251;Ладушкин;Калининградская область
252;Мамоново;Калининградская область
253;Неман;Калининградская область
254;Нестеров;Калининградская область
255;Озёрск;Калининградская область
256;Пионерский;Калининградская область
257;Полесск;Калининградская область
258;Правдинск;Калининградская область
259;Светлогорск;Калининградская область
260;Светлый;Калининградская область
261;Славск;Калининградская область
262;Советск;Калининградская область
263;Черняховск;Калининградская область
264;Приморск;Калининградская область
265;Городовиковск;Калмыкия
266;Лагань;Калмыкия
267;Элиста;Калмыкия
268;Балабаново;Калужская область
269;Белоусово;Калужская область
270;Боровск;Калужская область
271;Ермолино;Калужская область
272;Жиздра;Калужская область
273;Жуков;Калужская область
274;Калуга;Калужская область
275;Киров;Калужская область
276;Козельск;Калужская область
277;Кондрово;Калужская область
278;Кремёнки;Калужская область
279;Людиново;Калужская область
280;Малоярославец;Калужская область
281;Медынь;Калужская область
282;Мещовск;Калужская область
283;Мосальск;Калужская область
284;Обнинск;Калужская область
285;Сосенский;Калужская область
286;Спас-Деменск;Калужская область
287;Сухиничи;Калужская область
288;Таруса;Калужская область
289;Юхнов;Калужская область
290;Вилючинск;Камчатский край
291;Елизово;Камчатский край
292;Петропавловск-Камчатский;Камчатский край
293;Карачаевск;Карачаево-Черкесия
294;Теберда;Карачаево-Черкесия
295;Усть-Джегута;Карачаево-Черкесия
296;Черкесск;Карачаево-Черкесия
297;Беломорск;Карелия
298;Кемь;Карелия
299;Кондопога;Карелия
300;Костомукша;Карелия
301;Лахденпохья;Карелия
302;Медвежьегорск;Карелия
303;Олонец;Карелия
304;Петрозаводск;Карелия
305;Питкяранта;Карелия
306;Пудож;Карелия
307;Сегежа;Карелия
308;Сортавала;Карелия
309;Суоярви;Карелия
310;Анжеро-Судженск;Кемеровская область
311;Белово;Кемеровская область
312;Берёзовский;Кемеровская область
313;Гурьевск;Кемеровская область
314;Калтан;Кемеровская область
315;Кемерово;Кемеровская область
316;Киселёвск;Кемеровская область
317;Ленинск-Кузнецкий;Кемеровская область
318;Мариинск;Кемеровская область
319;Междуреченск;Кемеровская область
320;Мыски;Кемеровская область
321;Новокузнецк;Кемеровская область
322;Осинники;Кемеровская область
323;Полысаево;Кемеровская область
324;Прокопьевск;Кемеровская область
325;Салаир;Кемеровская область
326;Тайга;Кемеровская область
327;Таштагол;Кемеровская область
328;Топки;Кемеровская область
329;Юрга;Кемеровская область
330;Белая Холуница;Кировская область
331;Вятские Поляны;Кировская область
332;Зуевка;Кировская область
333;Киров;Кировская область
334;Кирово-Чепецк;Кировская область
335;Кирс;Кировская область
336;Котельнич;Кировская область
337;Луза;Кировская область
338;Малмыж;Кировская область
339;Мураши;Кировская область
340;Нолинск;Кировская область
341;Омутнинск;Кировская область
342;Орлов;Кировская область
343;Слободской;Кировская область
344;Советск;Кировская область
345;Сосновка;Кировская область
346;Уржум;Кировская область
347;Яранск;Кировская область
348;Воркута;Коми
349;Вуктыл;Коми
350;Емва;Коми
351;Инта;Коми
352;Микунь;Коми
353;Печора;Коми
354;Сосногорск;Коми
355;Сыктывкар;Коми
356;Усинск;Коми
357;Ухта;Коми
358;Буй;Костромская область
359;Волгореченск;Костромская область
360;Галич;Костромская область
361;Кологрив;Костромская область
362;Кострома;Костромская область
363;Макарьев;Костромская область
364;Мантурово;Костромская область
365;Нерехта;Костромская область
366;Нея;Костромская область
367;Солигалич;Костромская область
368;Чухлома;Костромская область
369;Шарья;Костромская область
370;Абинск;Краснодарский край
371;Анапа;Краснодарский край
372;Апшеронск;Краснодарский край
373;Армавир;Краснодарский край
374;Белореченск;Краснодарский край
375;Геленджик;Краснодарский край
376;Горячий Ключ;Краснодарский край
377;Гулькевичи;Краснодарский край
378;Ейск;Краснодарский край
379;Кореновск;Краснодарский край
380;Краснодар;Краснодарский край
381;Кропоткин;Краснодарский край
382;Крымск;Краснодарский край
383;Курганинск;Краснодарский край
384;Лабинск;Краснодарский край
385;Новокубанск;Краснодарский край
386;Новороссийск;Краснодарский край
387;Приморско-Ахтарск;Краснодарский край
388;Славянск-на-Кубани;Краснодарский край
389;Сочи;Краснодарский край
390;Темрюк;Краснодарский край
391;Тимашёвск;Краснодарский край
392;Тихорецк;Краснодарский край
393;Туапсе;Краснодарский край
394;Усть-Лабинск;Краснодарский край
395;Хадыженск;Краснодарский край
396;Артёмовск;Красноярский край
397;Ачинск;Красноярский край
398;Боготол;Красноярский край
399;Бородино;Красноярский край
400;Дивногорск;Красноярский край
401;Дудинка;Красноярский край
402;Енисейск;Красноярский край
403;Железногорск;Красноярский край
404;Заозёрный;Красноярский край
405;Зеленогорск;Красноярский край
406;Игарка;Красноярский край
407;Иланский;Красноярский край
408;Канск;Красноярский край
409;Кодинск;Красноярский край
410;Красноярск;Красноярский край
411;Лесосибирск;Красноярский край
412;Минусинск;Красноярский край
413;Назарово;Красноярский край
414;Норильск;Красноярский край
415;Сосновоборск;Красноярский край
416;Ужур;Красноярский край
417;Уяр;Красноярский край
418;Шарыпово;Красноярский край
419;Далматово;Курганская область
420;Катайск;Курганская область
421;Курган;Курганская область
422;Куртамыш;Курганская область
423;Макушино;Курганская область
424;Петухово;Курганская область
425;Шадринск;Курганская область
426;Шумиха;Курганская область
427;Щучье;Курганская область
428;Дмитриев;Курская область
429;Железногорск;Курская область
430;Курск;Курская область
431;Курчатов;Курская область
432;Льгов;Курская область
433;Обоянь;Курская область
434;Рыльск;Курская область
435;Суджа;Курская область
436;Фатеж;Курская область
437;Щигры;Курская область
438;Бокситогорск;Ленинградская область
439;Волосово;Ленинградская область
440;Волхов;Ленинградская область
441;Всеволожск;Ленинградская область
442;Выборг;Ленинградская область
443;Высоцк;Ленинградская область
444;Гатчина;Ленинградская область
445;Ивангород;Ленинградская область
446;Каменногорск;Ленинградская область
447;Кингисепп;Ленинградская область
448;Кириши;Ленинградская область
449;Кировск;Ленинградская область
450;Коммунар;Ленинградская область
451;Лодейное Поле;Ленинградская область
452;Луга;Ленинградская область
453;Любань;Ленинградская область
454;Никольское;Ленинградская область
455;Новая Ладога;Ленинградская область
456;Отрадное;Ленинградская область
457;Пикалёво;Ленинградская область
458;Подпорожье;Ленинградская область
459;Приморск;Ленинградская область
460;Приозерск;Ленинградская область
461;Светогорск;Ленинградская область
462;Сертолово;Ленинградская область
463;Сланцы;Ленинградская область
464;Сосновый Бор;Ленинградская область
465;Сясьстрой;Ленинградская область
466;Тихвин;Ленинградская область
467;Тосно;Ленинградская область
468;Шлиссельбург;Ленинградская область
469;Грязи;Липецкая область
470;Данков;Липецкая область
471;Елец;Липецкая область
472;Задонск;Липецкая область
473;Лебедянь;Липецкая область
474;Липецк;Липецкая область
475;Усмань;Липецкая область
476;Чаплыгин;Липецкая область
477;Магадан;Магаданская область
478;Сусуман;Магаданская область
479;Волжск;Марий Эл
480;Звенигово;Марий Эл
481;Йошкар-Ола;Марий Эл
482;Козьмодемьянск;Марий Эл
483;Ардатов;Мордовия
484;Инсар;Мордовия
485;Ковылкино;Мордовия
486;Краснослободск;Мордовия
487;Рузаевка;Мордовия
488;Саранск;Мордовия
489;Темников;Мордовия
490;Москва;Москва
491;Апрелевка;Московская область
492;Балашиха;Московская область
493;Бронницы;Московская область
494;Верея;Московская область
495;Видное;Московская область
496;Волоколамск;Московская область
497;Воскресенск;Московская область
498;Высоковск;Московская область
499;Голицыно;Московская область
500;Дедовск;Московская область
501;Дзержинский;Московская область
502;Дмитров;Московская область
503;Долгопрудный;Московская область
504;Домодедово;Московская область
505;Дрезна;Московская область
506;Дубна;Московская область
507;Егорьевск;Московская область
508;Железнодорожный;Московская область
509;Жуковский;Московская область
510;Зарайск;Московская область
511;Звенигород;Московская область
512;Ивантеевка;Московская область
513;Истра;Московская область
514;Кашира;Московская область
515;Климовск;Московская область
516;Клин;Московская область
517;Коломна;Московская область
518;Котельники;Московская область
519;Королёв;Московская область
520;Красноармейск;Московская область
521;Красногорск;Московская область
522;Краснозаводск;Московская область
523;Краснознаменск;Московская область
524;Кубинка;Московская область
525;Куровское;Московская область
526;Ликино-Дулёво;Московская область
527;Лобня;Московская область
528;Лосино-Петровский;Московская область
529;Луховицы;Московская область
530;Лыткарино;Московская область
531;Люберцы;Московская область
532;Можайск;Московская область
533;Московский;Москва
534;Мытищи;Московская область
535;Наро-Фоминск;Московская область
536;Ногинск;Московская область
537;Одинцово;Московская область
538;Ожерелье;Московская область
539;Озёры;Московская область
540;Орехово-Зуево;Московская область
541;Павловский Посад;Московская область
542;Пересвет;Московская область
543;Подольск;Московская область
544;Протвино;Московская область
545;Пушкино;Московская область
546;Пущино;Московская область
547;Раменское;Московская область
548;Реутов;Московская область
549;Рошаль;Московская область
550;Руза;Московская область
551;Сергиев Посад;Московская область
552;Серпухов;Московская область
553;Солнечногорск;Московская область
554;Старая Купавна;Московская область
555;Ступино;Московская область
556;Талдом;Московская область
557;Троицк;Москва
558;Фрязино;Московская область
559;Химки;Московская область
560;Хотьково;Московская область
